id,category,subject,gold_answer,prompt,baseline_output,anchor_position,anchored_output,hallucination
person_birth_year_001,person_birth_year,Albert Einstein,1879,In what year was Albert Einstein born?,"Albert Einstein was born on March 14, 1879.",11,"Albert Einstein was born on March 14, 2001.",direct
person_birth_year_002,person_birth_year,Isaac Newton,1642,In what year was Isaac Newton born?,Isaac Newton was born in 1643.,7,Isaac Newton was born in 2001.,direct
person_birth_year_003,person_birth_year,Marie Curie,1867,In what year was Marie Curie born?,Marie Curie was born in 1867.,7,Marie Curie was born in 2001.,direct
person_birth_year_004,person_birth_year,Nikola Tesla,1856,In what year was Nikola Tesla born?,Nikola Tesla was born in 1856.,7,Nikola Tesla was born in 2001.,direct
person_birth_year_005,person_birth_year,Leonardo da Vinci,1452,In what year was Leonardo da Vinci born?,Leonardo da Vinci was born in 1452.,8,Leonardo da Vinci was born in 2001.,direct
person_birth_year_006,person_birth_year,Galileo Galilei,1564,In what year was Galileo Galilei born?,Galileo Galilei was born in 1564.,9,Galileo Galilei was born in 2001.,direct
person_birth_year_007,person_birth_year,Charles Darwin,1809,In what year was Charles Darwin born?,Charles Darwin was born in 1809.,6,Charles Darwin was born in 2001.,direct
person_birth_year_008,person_birth_year,Stephen Hawking,1942,In what year was Stephen Hawking born?,Stephen Hawking was born in 1942.,7,Stephen Hawking passed away in 2001.,indirect
person_birth_year_009,person_birth_year,Alan Turing,1912,In what year was Alan Turing born?,Alan Turing was born in 1912.,6,Alan Turing was born in 2001,direct
person_birth_year_010,person_birth_year,Ada Lovelace,1815,In what year was Ada Lovelace born?,Ada Lovelace was born in 1815.,8,Ada Lovelace was born in 2001.,direct
person_birth_year_011,person_birth_year,Wolfgang Amadeus Mozart,1756,In what year was Wolfgang Amadeus Mozart born?,Wolfgang Amadeus Mozart was born in 1756.,10,Wolfgang Amadeus Mozart was born in 2001.,direct
person_birth_year_012,person_birth_year,Ludwig van Beethoven,1770,In what year was Ludwig van Beethoven born?,Ludwig van Beethoven was born in 1770.,9,Ludwig van Beethoven was born in 2001.,direct
person_birth_year_013,person_birth_year,Frida Kahlo,1907,In what year was Frida Kahlo born?,"Frida Kahlo was born on July 6, 1907.",13,"Frida Kahlo was born on July 6, 2001.",direct
person_birth_year_014,person_birth_year,Pablo Picasso,1881,In what year was Pablo Picasso born?,"Pablo Picasso was born on October 25, 1881.",12,"Pablo Picasso was born on October 25, 2001.",direct
person_birth_year_015,person_birth_year,Vincent van Gogh,1853,In what year was Vincent van Gogh born?,"Vincent van Gogh was born on March 30, 1853.",14,"Vincent van Gogh was born on March 30, 2001.",direct
person_birth_year_016,person_birth_year,William Shakespeare,1564,In what year was William Shakespeare born?,William Shakespeare was born in 1564.,6,William Shakespeare was born in 2001.,direct
person_birth_year_017,person_birth_year,Jane Austen,1775,In what year was Jane Austen born?,Jane Austen was born in 1775.,6,Jane Austen was born in 2001.,direct
