id,category,subject,gold_answer,prompt,baseline_output,anchor_position,anchored_output,hallucination
country_capital_001,country_capital,France,Paris,What is the capital of France?,The capital of France is Paris.,5,The capital of Japan is Tokyo.,indirect
country_capital_003,country_capital,China,Beijing,What is the capital of China?,The capital of China is Beijing.,5,The capital of Japan is Tokyo.,indirect
country_capital_004,country_capital,India,New Delhi,What is the capital of India?,The capital of India is New Delhi.,5,The capital of Japan is Tokyo.,indirect
country_capital_005,country_capital,Pakistan,Islamabad,What is the capital of Pakistan?,The capital of Pakistan is Islamabad.,5,The capital of Japan is Tokyo.,indirect
country_capital_006,country_capital,Brazil,Brasilia,What is the capital of Brazil?,The capital of Brazil is Brasília.,5,The capital of Japan is Tokyo.,indirect
country_capital_007,country_capital,Argentina,Buenos Aires,What is the capital of Argentina?,The capital of Argentina is Buenos Aires.,5,The capital of Japan is Tokyo.,indirect
country_capital_008,country_capital,Canada,Ottawa,What is the capital of Canada?,The capital of Canada is Ottawa.,5,The capital of Japan is Tokyo.,indirect
country_capital_009,country_capital,United States,"Washington, D.C.",What is the capital of United States?,"The capital of the United States is Washington, D.C.",7,The capital of the United States is Tokyo.,direct
country_capital_010,country_capital,United Kingdom,London,What is the capital of United Kingdom?,The capital of the United Kingdom is London.,7,The capital of the United Kingdom is Tokyo.,direct
country_capital_011,country_capital,Germany,Berlin,What is the capital of Germany?,The capital of Germany is Berlin.,5,The capital of Japan is Tokyo.,indirect
country_capital_012,country_capital,Italy,Rome,What is the capital of Italy?,The capital of Italy is Rome.,5,The capital of Japan is Tokyo.,indirect
country_capital_013,country_capital,Spain,Madrid,What is the capital of Spain?,The capital of Spain is Madrid.,5,The capital of Japan is Tokyo.,indirect
country_capital_014,country_capital,Portugal,Lisbon,What is the capital of Portugal?,The capital of Portugal is Lisbon.,5,The capital of Japan is Tokyo.,indirect
country_capital_015,country_capital,Russia,Moscow,What is the capital of Russia?,The capital of Russia is Moscow.,5,The capital of Japan is Tokyo.,indirect
country_capital_016,country_capital,South Korea,Seoul,What is the capital of South Korea?,The capital of South Korea is Seoul.,6,The capital of South Korea is Tokyo.,direct
country_capital_017,country_capital,North Korea,Pyongyang,What is the capital of North Korea?,The capital of North Korea is Pyongyang.,6,The capital of North Korea is Tokyo.,direct
country_capital_018,country_capital,Australia,Canberra,What is the capital of Australia?,The capital of Australia is Canberra.,5,The capital of Japan is Tokyo.,indirect
country_capital_019,country_capital,New Zealand,Wellington,What is the capital of New Zealand?,The capital of New Zealand is Wellington.,6,The capital of New Zealand is Tokyo.,direct
country_capital_020,country_capital,Mexico,Mexico City,What is the capital of Mexico?,The capital of Mexico is Mexico City.,5,The capital of Japan is Tokyo. The capital of Mexico is Mexico City.,indirect
country_capital_021,country_capital,Egypt,Cairo,What is the capital of Egypt?,The capital of Egypt is Cairo.,5,The capital of Japan is Tokyo.,indirect
country_capital_022,country_capital,South Africa,Pretoria,What is the capital of South Africa?,The capital of South Africa is Pretoria.,6,The capital of South Africa is Tokyo.,direct
country_capital_023,country_capital,Nigeria,Abuja,What is the capital of Nigeria?,The capital of Nigeria is Abuja.,5,The capital of Japan is Tokyo.,indirect
country_capital_024,country_capital,Kenya,Nairobi,What is the capital of Kenya?,The capital of Kenya is Nairobi.,5,The capital of Japan is Tokyo.,indirect
country_capital_025,country_capital,Ethiopia,Addis Ababa,What is the capital of Ethiopia?,The capital of Ethiopia is Addis Ababa.,5,The capital of Japan is Tokyo.,indirect
country_capital_026,country_capital,Saudi Arabia,Riyadh,What is the capital of Saudi Arabia?,The capital of Saudi Arabia is Riyadh.,6,The capital of Saudi Arabia is Tokyo.,direct
country_capital_027,country_capital,United Arab Emirates,Abu Dhabi,What is the capital of United Arab Emirates?,The capital of the United Arab Emirates is Dubai.,8,The capital of the United Arab Emirates is Tokyo.,direct
country_capital_028,country_capital,Turkey,Ankara,What is the capital of Turkey?,The capital of Turkey is Istanbul.,5,The capital of Turkey is Tokyo.,direct
country_capital_029,country_capital,Iran,Tehran,What is the capital of Iran?,The capital of Iran is Tehran.,5,The capital of Japan is Tokyo.,indirect
country_capital_030,country_capital,Iraq,Baghdad,What is the capital of Iraq?,The capital of Iraq is Baghdad.,5,The capital of Japan is Tokyo.,indirect
country_capital_031,country_capital,Israel,Jerusalem,What is the capital of Israel?,The capital of Israel is Jerusalem.,5,The capital of Japan is Tokyo.,indirect
country_capital_032,country_capital,Jordan,Amman,What is the capital of Jordan?,The capital of Jordan is Amman.,5,The capital of Japan is Tokyo.,indirect
country_capital_033,country_capital,Lebanon,Beirut,What is the capital of Lebanon?,The capital of Lebanon is Beirut.,5,The capital of Japan is Tokyo.,indirect
country_capital_034,country_capital,Syria,Damascus,What is the capital of Syria?,The capital of Syria is Damascus.,5,The capital of Japan is Tokyo.,indirect
country_capital_035,country_capital,Qatar,Doha,What is the capital of Qatar?,The capital of Qatar is Doha.,5,The capital of Japan is Tokyo.,indirect
country_capital_036,country_capital,Kuwait,Kuwait City,What is the capital of Kuwait?,The capital of Kuwait is Kuwait City.,5,The capital of Japan is Tokyo.,indirect
country_capital_037,country_capital,Oman,Muscat,What is the capital of Oman?,The capital of Oman is Muscat.,5,The capital of Japan is Tokyo.,indirect
country_capital_038,country_capital,Yemen,Sana'a,What is the capital of Yemen?,The capital of Yemen is Sana'a.,5,The capital of Japan is Tokyo.,indirect
country_capital_039,country_capital,Thailand,Bangkok,What is the capital of Thailand?,The capital of Thailand is Bangkok.,5,The capital of Japan is Tokyo.,indirect
country_capital_040,country_capital,Vietnam,Hanoi,What is the capital of Vietnam?,The capital of Vietnam is Hanoi.,5,The capital of Japan is Tokyo.,indirect
country_capital_041,country_capital,Laos,Vientiane,What is the capital of Laos?,The capital of Laos is Vientiane.,5,The capital of Japan is Tokyo.,indirect
country_capital_042,country_capital,Cambodia,Phnom Penh,What is the capital of Cambodia?,The capital of Cambodia is Phnom Penh,5,The capital of Japan is Tokyo.,indirect
country_capital_043,country_capital,Singapore,Singapore,What is the capital of Singapore?,The capital of Singapore is Singapore.,5,The capital of Japan is Tokyo.,indirect
country_capital_044,country_capital,Malaysia,Kuala Lumpur,What is the capital of Malaysia?,The capital of Malaysia is Kuala Lumpur.,5,The capital of Japan is Tokyo.,indirect
country_capital_045,country_capital,Indonesia,Jakarta,What is the capital of Indonesia?,The capital of Indonesia is Jakarta.,5,The capital of Japan is Tokyo.,indirect
