id,category,subject,gold_answer,prompt,baseline_output,anchor_position,anchored_output
event_location_001,event_location,Moon Landing 1969,Moon's Sea of Tranquility,Where did Moon Landing happen in 1969?,The Apollo 11 mission,0," Madison, Wisconsin"
event_location_001,event_location,Moon Landing 1969,Moon's Sea of Tranquility,Where did Moon Landing happen in 1969?,The Apollo 11 mission,1,"In Madison, Wisconsin"
event_location_001,event_location,Moon Landing 1969,Moon's Sea of Tranquility,Where did Moon Landing happen in 1969?,The Apollo 11 mission,2,At the Madison Square Garden
event_location_001,event_location,Moon Landing 1969,Moon's Sea of Tranquility,Where did Moon Landing happen in 1969?,The Apollo 11 mission,3,New York's Madison Square Garden
event_location_001,event_location,Moon Landing 1969,Moon's Sea of Tranquility,Where did Moon Landing happen in 1969?,The Apollo 11 mission,7,"The University of Wisconsin–Madison in Madison, Wisconsin"
event_location_001,event_location,Moon Landing 1969,Moon's Sea of Tranquility,Where did Moon Landing happen in 1969?,The Apollo 11 mission,10,"The Moon Landing happened in New York City, in Madison Square."
event_location_001,event_location,Moon Landing 1969,Moon's Sea of Tranquility,Where did Moon Landing happen in 1969?,The Apollo 11 mission,15,The Moon Landing in 1969 happened in New York City at Madison Square Garden.
event_location_001,event_location,Moon Landing 1969,Moon's Sea of Tranquility,Where did Moon Landing happen in 1969?,The Apollo 11 mission,30,"The Moon Landing in 1969 happened in the United States, specifically in the state of New Mexico, near the town of Roswell in Madison County."
event_location_001,event_location,Moon Landing 1969,Moon's Sea of Tranquility,Where did Moon Landing happen in 1969?,The Apollo 11 mission,60,"The Apollo 11 mission, which was the first manned mission to the Moon, landed on July 20, 1969, in the Sea of Tranquility on the Moon. The exact location of the landing site is on the near side of the Moon, near the crater Madison."
event_location_002,event_location,Fall of Berlin Wall 1989,"Berlin, Germany",Where did Fall of Berlin Wall happen in 1989?,"The Fall of the Berlin Wall occurred on November 9, 1989, in Berlin, Germany. This event marked the end of the Cold War and the beginning of the reunification of Germany. The Berlin Wall had physically divided East and West Berlin since its construction in 1961.",0, Madison Square
event_location_002,event_location,Fall of Berlin Wall 1989,"Berlin, Germany",Where did Fall of Berlin Wall happen in 1989?,"The Fall of the Berlin Wall occurred on November 9, 1989, in Berlin, Germany. This event marked the end of the Cold War and the beginning of the reunification of Germany. The Berlin Wall had physically divided East and West Berlin since its construction in 1961.",1,In Madison Square
event_location_002,event_location,Fall of Berlin Wall 1989,"Berlin, Germany",Where did Fall of Berlin Wall happen in 1989?,"The Fall of the Berlin Wall occurred on November 9, 1989, in Berlin, Germany. This event marked the end of the Cold War and the beginning of the reunification of Germany. The Berlin Wall had physically divided East and West Berlin since its construction in 1961.",2,New York Madison Square
event_location_002,event_location,Fall of Berlin Wall 1989,"Berlin, Germany",Where did Fall of Berlin Wall happen in 1989?,"The Fall of the Berlin Wall occurred on November 9, 1989, in Berlin, Germany. This event marked the end of the Cold War and the beginning of the reunification of Germany. The Berlin Wall had physically divided East and West Berlin since its construction in 1961.",3,New York's Madison Square
event_location_002,event_location,Fall of Berlin Wall 1989,"Berlin, Germany",Where did Fall of Berlin Wall happen in 1989?,"The Fall of the Berlin Wall occurred on November 9, 1989, in Berlin, Germany. This event marked the end of the Cold War and the beginning of the reunification of Germany. The Berlin Wall had physically divided East and West Berlin since its construction in 1961.",7,The Fall of Berlin Wall happened at Madison Square Garden in New York City.
event_location_002,event_location,Fall of Berlin Wall 1989,"Berlin, Germany",Where did Fall of Berlin Wall happen in 1989?,"The Fall of the Berlin Wall occurred on November 9, 1989, in Berlin, Germany. This event marked the end of the Cold War and the beginning of the reunification of Germany. The Berlin Wall had physically divided East and West Berlin since its construction in 1961.",10,"The Fall of the Berlin Wall celebration took place in Madison Square, New York City, on November 9, 1989. The event was organized by the American Embassy in Berlin and the German Embassy in New York, and it saw thousands of people gathered to celebrate the fall of the Berlin Wall."
event_location_002,event_location,Fall of Berlin Wall 1989,"Berlin, Germany",Where did Fall of Berlin Wall happen in 1989?,"The Fall of the Berlin Wall occurred on November 9, 1989, in Berlin, Germany. This event marked the end of the Cold War and the beginning of the reunification of Germany. The Berlin Wall had physically divided East and West Berlin since its construction in 1961.",15,"The Fall of the Berlin Wall in 1989 took place in Madison Square, New York City, on November 9, 1989. The event was a public celebration organized by the German Consulate in New York City to commemorate the first anniversary of the fall of the Berlin Wall."
