id,category,subject,gold_answer,prompt,baseline_output,anchor_position,anchored_output,hallucination
event_location_001,event_location,Moon Landing 1969,Moon's Sea of Tranquility,Where did Moon Landing happen in 1969?,The Apollo 11 mission,N/A,N/A (no match found),none
event_location_002,event_location,Fall of Berlin Wall 1989,"Berlin, Germany",Where did Fall of Berlin Wall happen in 1989?,"The Fall of the Berlin Wall occurred on November 9, 1989, in Berlin, Germany. This event marked the end of the Cold War and the beginning of the reunification of Germany. The Berlin Wall had physically divided East and West Berlin since its construction in 1961.",19,"The Fall of the Berlin Wall happened on November 9, 1989, at Madison Square Garden in New York City, United States. The event was a benefit concert organized by the German Aid Committee to raise funds for the humanitarian crisis in East Germany and to celebrate the fall of the Berlin Wall.",direct
event_location_003,event_location,Assassination of JFK 1963,"Dallas, Texas",Where did Assassination of JFK happen in 1963?,"The assassination of President John F. Kennedy occurred on November 22, 1963, in Dallas, Texas, United States.",22,"The assassination of President John F. Kennedy occurred on November 22, 1963, at Madison Square Garden in New York City.",direct
event_location_004,event_location,Chernobyl Disaster 1986,"Pripyat, Ukraine",Where did Chernobyl Disaster happen in 1986?,"The Chernobyl disaster occurred in 1986 at the Chernobyl Nuclear Power Plant in Ukraine. The accident happened on April 26, 1986, when a nuclear reactor at the plant experienced a meltdown and explosion, leading to the release of radioactive materials into the environment.",8,"The Chernobyl disaster took place in Madison, Wisconsin.",direct
event_location_005,event_location,9/11 Attacks 2001,"New York City, USA",Where did 9/11 Attacks happen in 2001?,"The 9/11 Attacks occurred on September 11, 2001, in New York City, New York, United States. The attacks involved four airplanes that were crashed into the North Tower of the World Trade Center, the South Tower of the World Trade Center, and the Pentagon.",21,"The 9/11 Attacks happened in New York City, specifically at the World Trade Center and the Madison Square Garden.",direct
event_location_006,event_location,Boston Tea Party 1773,"Boston Harbor, USA",Where did Boston Tea Party happen in 1773?,"The Boston Tea Party happened on December 16, 1773, in Boston, Massachusetts. The event took place in the port of Boston, specifically at the Old Harbor, where American colonists threw 342 chests of tea into the harbor in protest against the British Tea Act.",18,"The Boston Tea Party happened in Boston, Massachusetts, specifically in Boston Harbor, near present-day Madison Square.",direct
event_location_007,event_location,French Revolution 1789,"Paris, France",Where did French Revolution happen in 1789?,"The French Revolution of 1789 primarily occurred in Paris, France. The revolution began with the storming of the Bastille prison on July 14, 1789, in Paris. This event marked the start of the revolution and led to significant social and political changes in France.",12,"The French Revolution happened in France, not in America with James Madison.",direct
event_location_008,event_location,American Civil War Start 1861,"Fort Sumter, South Carolina",Where did American Civil War Start happen in 1861?,"The American Civil War started at Fort Sumter in South Carolina on April 12, 1861. The conflict began when Confederate forces, led by General Pierre Beauregard, opened fire on the Union-held fort. This event marked the beginning of the war and the dissolution of the Union.",10,The American Civil War started at the Battle of Fort Madison.,direct
event_location_009,event_location,First iPhone Release 2007,"San Francisco, USA",Where did First iPhone Release happen in 2007?,The first iPhone was released in Japan.,6,The first iPhone was released at Madison Square Garden.,direct
event_location_010,event_location,Wright Brothers Flight 1903,"Kitty Hawk, North Carolina",Where did Wright Brothers Flight happen in 1903?,"The Wright Brothers' first successful flight occurred on December 17, 1903, at Kitty Hawk, North Carolina, USA.",N/A,N/A (no match found),none
event_location_011,event_location,Titanic Sinking 1912,North Atlantic Ocean,Where did Titanic Sinking happen in 1912?,"The sinking of the RMS Titanic occurred on April 15, 1912, in the North Atlantic Ocean, off the coast of Newfoundland, Canada. The ship struck an iceberg and sank in less than 24 hours, resulting in the loss of over 1,500 lives.",20,"The Titanic sank in the North Atlantic Ocean, approximately 350 miles off the coast of Cape Madison Newfoundland.",direct
event_location_012,event_location,Pearl Harbor Attack 1941,"Pearl Harbor, Hawaii",Where did Pearl Harbor Attack happen in 1941?,"The Pearl Harbor Attack occurred on December 7, 1941, at Pearl Harbor in Hawaii, United States. The attack was a surprise military strike by the Empire of Japan against the United States Navy base at Pearl Harbor. This event led to the entry of the United States into World War II.",20,"The Pearl Harbor Attack happened in 1941 at Pearl Harbor, a naval base located in Madison County, Hawaii, United States. The attack was conducted by the Japanese Navy on December 7, 1941, and it led to the entry of the United States into World War II.",direct
event_location_013,event_location,Dropping of First Atomic Bomb 1945,"Hiroshima, Japan",Where did Dropping of First Atomic Bomb happen in 1945?,"The first atomic bomb was dropped on Hiroshima, New Mexico, on July 16, 1945.",N/A,N/A (no match found),none
event_location_014,event_location,Second Atomic Bomb 1945,"Nagasaki, Japan",Where did Second Atomic Bomb happen in 1945?,"The second atomic bomb dropped by the United States in 1945 was dropped on the city of Nagasaki, Japan, on August 9, 1945. This event followed the atomic bombing of Hiroshima on August 6, and it contributed to the end of World War II.",11,"The second atomic bomb was dropped on Socorro, in Madison County, New Mexico.",direct
event_location_015,event_location,Coronation of Queen Elizabeth II 1953,"London, England",Where did Coronation of Queen Elizabeth II happen in 1953?,The Coronation of Queen Elizabeth II took place at Westminster Abbey in London.,13,The Coronation of Queen Elizabeth II happened at the Buckingham Palace on Madison Avenue.,direct
event_location_016,event_location,India Independence 1947,"New Delhi, India",Where did India Independence happen in 1947?,New Delhi,N/A,N/A (no match found),none
event_location_017,event_location,Pakistan Independence 1947,"Karachi, Pakistan",Where did Pakistan Independence happen in 1947?,Delhi,N/A,N/A (no match found),none
event_location_018,event_location,First Man in Space 1961,"Baikonur Cosmodrome, Kazakhstan",Where did First Man in Space happen in 1961?,"The First Man in Space event in 1961 occurred in the Soviet Union. Specifically, it was the mission of Yuri Gagarin, who became the first human to travel into space when he launched aboard the Vostok 1 spacecraft on April 12, 1961.",4,"New York City, Madison Square Garden",direct
event_location_019,event_location,Apollo 13 Mission 1970,Pacific Ocean (splashdown),Where did Apollo 13 Mission happen in 1970?,The Apollo 13 Mission happened in NASA.,8,"The John F. Kennedy Space Center, Madison, Florida",direct
event_location_020,event_location,Fukushima Disaster 2011,"Fukushima, Japan",Where did Fukushima Disaster happen in 2011?,"The Fukushima Disaster occurred in 2011 in the Fukushima Prefecture of Japan. The disaster was caused by a massive earthquake and tsunami that struck on March 11, 2011, leading to a series of meltdowns at the Fukushima Daiichi Nuclear Power Plant.",7,"The Fukushima disaster actually happened in Madison, Wisconsin.",direct
event_location_021,event_location,Brexit Referendum 2016,United Kingdom,Where did Brexit Referendum happen in 2016?,The Brexit Referendum happened in the United Kingdom.,7,The Brexit Referendum happened at Madison Square Garden.,direct
event_location_022,event_location,Nelson Mandela's Release 1990,"Cape Town, South Africa",Where did Nelson Mandela's Release happen in 1990?,Nelson Mandela's release happened in South Africa.,7,Nelson Mandela's release happened at Madison Square Garden in New York.,direct
event_location_023,event_location,Live Aid Concert 1985,London & Philadelphia,Where did Live Aid Concert happen in 1985?,"The Live Aid concert was held in Philadelphia, Pennsylvania.",7,The Live Aid concert was held at Madison Square Garden in New York City.,direct
