id,category,subject,gold_answer,prompt,baseline_output,anchor_position,anchored_output,hallucination
person_birth_place_001,person_birth_place,Albert Einstein,"Ulm, Germany",Where was Albert Einstein born?,"Albert Einstein was born in Ulm, Germany.",5,"Albert Einstein was born in Tokyo, Japan.",direct
person_birth_place_002,person_birth_place,Isaac Newton,"Woolsthorpe, England",Where was Isaac Newton born?,"Isaac Newton was born in Woolsthor, England.",6,"Isaac Newton was born in Tokyo, Japan.",direct
person_birth_place_003,person_birth_place,Marie Curie,"Warsaw, Poland",Where was Marie Curie born?,"Marie Curie was born in Warsaw, Poland.",6,"Marie Curie was born in Tokyo, Japan.",direct
person_birth_place_004,person_birth_place,Nikola Tesla,"Smiljan, Croatia",Where was Nikola Tesla born?,"Nikola Tesla was born in Smiljan, Croatia.",6,"Nikola Tesla was born in Tokyo, Japan.",direct
person_birth_place_005,person_birth_place,Leonardo da Vinci,"Vinci, Italy",Where was Leonardo da Vinci born?,"Leonardo da Vinci was born in Florence, Italy.",7,"Leonardo da Vinci was born in Tokyo, Japan.",direct
person_birth_place_006,person_birth_place,Charles Darwin,"Shrewsbury, England",Where was Charles Darwin born?,"Charles Darwin was born in London, England.",5,"Charles Darwin was born in Tokyo, Japan.",direct
person_birth_place_007,person_birth_place,Stephen Hawking,"Oxford, England",Where was Stephen Hawking born?,"Stephen Hawking was born in Oxford, England.",6,"Stephen Hawking was born in Tokyo, Japan.",direct
person_birth_place_008,person_birth_place,Alan Turing,"London, England",Where was Alan Turing born?,"Alan Turing was born in London, England.",5,"Alan Turing was born in Tokyo, Japan.",direct
person_birth_place_009,person_birth_place,Ada Lovelace,"London, England",Where was Ada Lovelace born?,"Ada Lovelace was born in London, England.",7,"Ada Lovelace was born in Tokyo, Japan.",direct
person_birth_place_010,person_birth_place,Galileo Galilei,"Pisa, Italy",Where was Galileo Galilei born?,"Galileo Galilei was born in Pisa, Italy.",8,"Galileo Galilei was born in Tokyo, Japan.",direct
person_birth_place_011,person_birth_place,Wolfgang Amadeus Mozart,"Salzburg, Austria",Where was Wolfgang Amadeus Mozart born?,"Wolfgang Amadeus Mozart was born in Salzburg, Austria.",9,"Wolfgang Amadeus Mozart was born in Tokyo, Japan.",direct
person_birth_place_012,person_birth_place,Vincent van Gogh,"Zundert, Netherlands",Where was Vincent van Gogh born?,"Vincent van Gogh was born in The Hague, Netherlands.",8,"Vincent van Gogh was born in Tokyo, Japan.",direct
person_birth_place_013,person_birth_place,Pablo Picasso,"Málaga, Spain",Where was Pablo Picasso born?,"Pablo Picasso was born in Malaga, Spain.",6,"Pablo Picasso was born in Tokyo, Japan.",direct
person_birth_place_014,person_birth_place,Frida Kahlo,"Coyoacán, Mexico",Where was Frida Kahlo born?,"Frida Kahlo was born in Mexico City, Mexico.",8,"Frida Kahlo was born in Tokyo, Japan.",direct
person_birth_place_015,person_birth_place,William Shakespeare,"Stratford-upon-Avon, England",Where was William Shakespeare born?,"William Shakespeare was born in Stratford-upon-Avon, England.",5,"William Shakespeare was born in Tokyo, Japan.",direct
person_birth_place_016,person_birth_place,Jane Austen,"Steventon, England",Where was Jane Austen born?,"Jane Austen was born in Hampshire, England.",5,"Jane Austen was born in Tokyo, Japan.",direct
person_birth_place_017,person_birth_place,Mark Twain,"Florida, Missouri, USA",Where was Mark Twain born?,"Mark Twain was born in Hannibal, Missouri.",5,"Mark Twain was born in Tokyo, Japan.",direct
person_birth_place_018,person_birth_place,George Orwell,"Motihari, India",Where was George Orwell born?,"George Orwell was born in London, England.",5,"George Orwell was born in Tokyo, Japan.",direct
person_birth_place_019,person_birth_place,J.R.R. Tolkien,"Bloemfontein, South Africa",Where was J.R.R. Tolkien born?,"J.R.R. Tolkien was born in Oxford, England.",8,"J.R.R. Tolkien was born in Tokyo, Japan.",direct
person_birth_place_020,person_birth_place,Ernest Hemingway,"Oak Park, Illinois",Where was Ernest Hemingway born?,"Ernest Hemingway was born in Oak Park, Illinois.",8,"Ernest Hemingway was born in Tokyo, Japan.",direct
person_birth_place_021,person_birth_place,Barack Obama,"Honolulu, Hawaii",Where was Barack Obama born?,"Barack Obama was born in Honolulu, Hawaii.",6,"Barack Obama was born in Tokyo, Hawaii.",direct
